baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
151.939178606038	-7.88698876244929	0.641400135792239	-12.2965186976574	9.456260849439e-35	9.72481865756307e-31
1257.53252242733	-4.43625043016669	0.363212074090101	-12.2139398622145	2.61893019242407e-34	1.34665390494446e-30
22471.0869308297	-8.32706882477803	0.687749412984652	-12.1077076440396	9.61436679683119e-34	3.29580493795373e-30
1752.8475819125	-6.49662452951705	0.549750595541249	-11.8174033501881	3.17342205910609e-32	8.15886811396175e-29
2089.32700236725	-5.39264682460143	0.463775909719965	-11.6276993081801	2.98021832484649e-31	6.12971305054426e-28
565.356544807322	-5.65896491095207	0.529846813971892	-10.6803792374078	1.2575686199212e-26	2.15547261454493e-23
471.228730761344	-6.90312333330535	0.660325724587252	-10.4541184392298	1.40297381697501e-25	2.06116896196728e-22
106.469522604129	-4.6505584699161	0.477230209424221	-9.74489539446173	1.93978543113329e-22	2.49359417172184e-19
1080.64412212338	-4.16439124250938	0.481090892488316	-8.65614233719987	4.87999180945268e-18	5.57620397426793e-15
2138.64317220117	-3.67702784583067	0.426140889743257	-8.62866703086395	6.20711029566036e-18	6.38339222805712e-15
108.250483208079	-3.58727539783392	0.431036109387146	-8.32244751590386	8.61652795889197e-17	8.05567032084046e-14
26.1685344070805	3.58676272041401	0.433041956758935	8.28271409832623	1.20399233284031e-16	9.52450550071517e-14
1220.25065415522	-7.1946344307324	0.868615938940709	-8.28287175976343	1.20239882861731e-16	9.52450550071517e-14
1421.95038941927	-3.34639592688056	0.407966892807983	-8.20261640312955	2.35210804143152e-16	1.7277913641487e-13
81.9822252249467	1.007040648811	0.125053420014645	8.05288370916253	8.08657311600082e-16	5.19764487030953e-13
12.3021371055982	7.40293484589542	0.925952987221498	7.9949359719756	1.29641221285258e-15	7.84253129233876e-13
1812.24205043058	-1.29725605846079	0.162920533626658	-7.96250803740626	1.68586657303553e-15	9.6319176872763e-13
214.581020202313	1.07905582755602	0.136364302734687	7.91303739993784	2.51183857538007e-15	1.35956567943203e-12
46.0527363573377	-5.01742806670234	0.644929532553249	-7.77980820143025	7.26345846143721e-15	3.73487034087102e-12
11.6449275754078	3.93428887051042	0.509091482685651	7.72805871698255	1.09198978740328e-14	5.3476299874549e-12
8290.93438255114	-5.91101259501678	0.770427788735882	-7.6723771928263	1.68837583499055e-14	7.89238958501945e-12
17232.6518029768	-5.09135013301492	0.685267403328754	-7.42972758996442	1.08821557118957e-13	4.86574301483199e-11
111.746441071211	-7.12063947062444	0.967463532129711	-7.36011150203205	1.83756673266247e-13	7.87397344945867e-11
13.3732284416097	3.47044650702951	0.47612549119586	7.28893237434729	3.12420810944817e-13	1.2851742479026e-10
422.865225809768	-3.27379199565146	0.451382295511269	-7.25281436203279	4.08199389473828e-13	1.61458558513417e-10
141.920714423313	1.09865639796037	0.152343588102933	7.21170094285854	5.52572280907154e-13	2.10468642105525e-10
193.632373948306	-5.60400758259502	0.797041673618507	-7.03100950437544	2.05044533895015e-12	6.58961870805105e-10
22.8675188225351	-4.88341934423183	0.694434077916389	-7.0322288314022	2.03260079514515e-12	6.58961870805105e-10
962.188127232988	-2.62604517522434	0.373830131498578	-7.02470174005844	2.14524008325527e-12	6.68534818672642e-10
156.974691113639	6.01523699517581	0.873701856082809	6.8847707639592	5.78806642375129e-12	1.75071985593701e-09
387.614145024207	-1.69263925491145	0.251728931584486	-6.72405529335574	1.76735314384592e-11	4.91228641386794e-09
18.9510111178844	6.33200662584905	0.948865747417414	6.67323764513922	2.50220705586152e-11	6.43317434061996e-09
43.394689340592	-5.49494577170831	0.824126615262363	-6.66759897077099	2.60022113031785e-11	6.52211563516799e-09
22645.6606892277	-6.3445512692716	0.953592925169057	-6.65331201796281	2.8656976658619e-11	7.01686542755329e-09
734.781639860668	1.21135145020906	0.183168897768123	6.6133031588285	3.75837653748369e-11	8.78435097988234e-09
219.81869383929	1.03727087053406	0.156786049286656	6.61583651895961	3.69456490106788e-11	8.78435097988234e-09
18.4007462665161	2.53302540500247	0.389202765010471	6.50824103198322	7.60358491308481e-11	1.53324053423851e-08
59.3536054530102	1.0482485857247	0.163261205606238	6.42068384728777	1.35663517608227e-10	2.6323841794019e-08
110.082155643121	1.21224344628145	0.18892622162098	6.41649124129222	1.3945096920343e-10	2.65576623571867e-08
384.151755810489	-2.79377083282626	0.437409065304192	-6.38708946483165	1.69072734337081e-10	3.1613527271319e-08
38401.943298487	-2.40130975589288	0.381155827104436	-6.30007357918453	2.97504383968128e-10	5.27506049091074e-08
30.2467866267417	1.19044132080893	0.190070178292936	6.26316727590069	3.77235569529565e-10	6.46581766173675e-08
53.0158326396039	-1.97536332455406	0.319003254760237	-6.19229833889547	5.92931858159976e-10	9.52767379580812e-08
40.9431131430424	-4.12803927130375	0.666598088303452	-6.19269593438222	5.91437578614688e-10	9.52767379580812e-08
8210.09333937307	-1.60919990409588	0.261544943858591	-6.15267066667489	7.61889118865509e-10	1.20542579975583e-07
21.1757674862504	1.27316464486023	0.207184952463542	6.14506328631305	7.9931638835838e-10	1.22689100565337e-07
1316.30739019457	-1.25282683387314	0.204737390311615	-6.11918923048843	9.40526621846502e-10	1.42240820280433e-07
4.33332208325213	3.74981339010531	0.617436670426855	6.07319514649647	1.25389922052132e-09	1.81621120899173e-07
1881.8050535233	-4.38829673215351	0.722428517790889	-6.0743680849871	1.24476911625707e-09	1.81621120899173e-07
11661.1903724104	-3.85062212794755	0.634799181028374	-6.06589019492676	1.31224765151105e-09	1.84825374888205e-07
