gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
fgenesh1_kg.8__247__Locus26450v1rpkm0.53	13.1513527535132	-2.77514257458625	0.539286115860253	-5.14595590906216	2.66161937475998e-07	1.61207811319922e-05
gm1.1641_g	31.8594971345963	1.57651456113643	0.306863751999959	5.1375066323788	2.78407645103225e-07	1.67119160538302e-05
gm1.5220_g	15.9410625136847	2.38413067032362	0.465356443347401	5.12323554214506	3.00336780758801e-07	1.77119664652756e-05
fgenesh1_pm.18__60	17.6245718029522	-2.25821056236415	0.443167461164172	-5.09561454812585	3.47611757462211e-07	2.01464986674004e-05
fgenesh1_kg.4__712__Locus914v1rpkm194.53	38.5527265348072	-1.32141753721705	0.260645158388141	-5.06979506309975	3.98244287979611e-07	2.28837294708284e-05
e_gw1.1.1698.1	28.3583687031033	-1.55752695520252	0.309936237156884	-5.02531414038602	5.02609123714957e-07	2.81586761561305e-05
fgenesh1_pm.19__46	44.9565412083006	1.20494365093478	0.239698284462589	5.02691812599452	4.98425023614138e-07	2.81586761561305e-05
fgenesh1_kg.35__97__Locus7479v2rpkm5.03	10.6369100954915	3.72677658685725	0.744471049189798	5.00593890241007	5.55903892203198e-07	3.08871228701e-05
e_gw1.6.208.1	10.6438938028025	-3.31758235188945	0.663952172276637	-4.99671887586983	5.8313981646791e-07	3.21348277550308e-05
fgenesh1_kg.30__117__Locus434v1rpkm385.99	30.9636638991291	-1.53002322740809	0.307162570920359	-4.9811512607921	6.32071086797508e-07	3.45480806222735e-05
CE1354_14251	28.750104596361	-1.51520867495303	0.304628394084434	-4.97395746547862	6.55997084696507e-07	3.52821472033169e-05
fgenesh1_kg.19__223__Locus1952v1rpkm85.24	17.5544829999759	2.09446200253576	0.421010464615737	4.97484546957144	6.52997103327083e-07	3.52821472033169e-05
fgenesh1_kg.2__384__Locus4711v1rpkm25.96	54.3104604169668	-1.07554470637717	0.2164197349125	-4.96971640230507	6.70508995095286e-07	3.57764442382984e-05
estExt_Genewise1.C_310035	59.1733973244351	1.03645108018095	0.209122974175903	4.95617989494134	7.18926563794817e-07	3.80578211684453e-05
gm1.5886_g	23.0345057242304	-1.71930260485978	0.347679401235724	-4.94508043545009	7.61124308400952e-07	3.99768650420281e-05
fgenesh1_kg.5__173__Locus462v1rpkm367.72	15.2985464066996	2.21912537800053	0.456503018990501	4.86114064022588	1.16711295567444e-06	6.08255845038704e-05
fgenesh1_kg.7__347__Locus755v1rpkm238.02	17.8757130613724	1.95156503846713	0.40391281441889	4.83164922923986	1.35406667678333e-06	7.00260789847258e-05
e_gw1.1.1381.1	9.4504366770348	4.51853346138614	0.941856783731273	4.79747403154592	1.6067903280176e-06	8.24614608798651e-05
fgenesh1_pm.57__14	38.8609952175657	-1.21580728400659	0.25433420110042	-4.780353089542	1.74987590964315e-06	8.91243616706888e-05
fgenesh1_kg.3__588__Locus1437v1rpkm122.42	26.5504107315029	1.5131953436053	0.316995525868359	4.7735542621939	1.81002751712812e-06	9.14948496064085e-05
fgenesh1_pm.1__279	14.2278129153636	2.37246429481674	0.498299092742054	4.76112505395399	1.92516703088006e-06	9.65887906612438e-05
fgenesh1_kg.13__282__Locus683v1rpkm262.27	32.1161050033235	-1.33722384218892	0.283629438196003	-4.71468635517598	2.4208335558148e-06	0.000119671058792227
fgenesh1_kg.12__45__Locus2037v1rpkm81.59	16.2910834106749	-2.17710468585936	0.463032028055023	-4.70184469744854	2.57821570366351e-06	0.000126520760406787
fgenesh1_kg.4__439__Locus98v1rpkm1179.20	27.9372451060332	1.42423510893506	0.307947653461292	4.62492599936011	3.74732163697451e-06	0.000177417206798448
CE403705_297	5.52943040971144	-5.94748922133851	1.28772339164105	-4.61860773823417	3.86323379076509e-06	0.000181626019407788
estExt_Genewise1Plus.C_180191	9.14597652595771	-3.61145809754861	0.785309683342789	-4.59876934431255	4.24993997562248e-06	0.000198419072611874
fgenesh1_kg.15__214__Locus1595v1rpkm109.13	18.3545377738635	1.81065077230009	0.395094340850211	4.58283145337825	4.58721775878063e-06	0.000211231952001933
fgenesh1_kg.4__149__Locus17241v3rpkm0.54	15.1019874080336	-2.06138950181366	0.451632327124744	-4.56430901423114	5.01142176582602e-06	0.000229195840351349
fgenesh1_kg.4__331__Locus440v4rpkm2.27_PRE	38.4054753340795	1.18449683447539	0.260178695685678	4.55262807492271	5.29798875022619e-06	0.000240664718701153
CE336349_6508	19.6865456496007	1.713931311606	0.378096627335453	4.53305104487317	5.81377584927686e-06	0.000260573433564589
estExt_Genewise1.C_170005	26.7236027132864	1.44204668942039	0.318790997535185	4.52348623571538	6.08292771233738e-06	0.000270831278212213
fgenesh1_kg.3__762__Locus1891v2rpkm6.83_PRE	21.6801847707676	-1.67219076109665	0.370070649298257	-4.51857169507369	6.2258192128196e-06	0.000275369622156488
fgenesh1_pm.42__31	8.36273147075824	-4.77189828436001	1.06326802934053	-4.4879542624071	7.19103617931535e-06	0.00031598258976168
gm1.1324_g	38.7404653839709	1.15100560394536	0.257486649048931	4.4701564457683	7.8162402644937e-06	0.000339023118052846
gm1.7360_g	49.9726853542382	-1.02391947193387	0.229938179128449	-4.45302070241187	8.46705871978833e-06	0.000364897665212416
fgenesh1_kg.2__464__Locus2647v1rpkm59.21	23.4921917998176	-1.4800449868322	0.335272688186013	-4.41445139727891	1.01266463009149e-05	0.00043363976484746
estExt_Genemark1.C_90026	16.3537025907174	-1.82937397909878	0.41474415295696	-4.41084935388738	1.02965936734577e-05	0.000437864605283827
fgenesh1_kg.11__434__Locus1341v1rpkm131.70	10.9342967025647	2.5721681088929	0.583309304684844	4.40961268444469	1.03555663007777e-05	0.000437864605283827
fgenesh1_kg.62__6__Locus6225v1rpkm15.54	7.73103941681445	-3.76574122587906	0.858421066341115	-4.38682293985391	1.15018344057331e-05	0.000482306097619023
fgenesh1_pm.12__80	6.8710535023433	-5.27453701209468	1.20260901241589	-4.38591176154483	1.15500939635078e-05	0.000482306097619023
e_gw1.11.751.1	4.72666792644536	5.69062127663282	1.30373265901123	4.36486823989565	1.27199405291822e-05	0.000524639019495041
estExt_Genemark1.C_7_t10078	4.65616565286143	-5.71407958994077	1.31184663558199	-4.35575274956265	1.326103991065e-05	0.000543621776337194
fgenesh1_pm.2__436	12.8270349000912	2.16011059664151	0.496187421208464	4.35341668150428	1.34032049265089e-05	0.00054611967709648
fgenesh1_pm.42__32	7.64864620066175	-4.14165486459052	0.951975801884389	-4.35058838301596	1.35772714342016e-05	0.000549879493085164
CE1333_23988	41.890142037574	-1.08132069465544	0.249332897127269	-4.33685529312041	1.44535711279999e-05	0.000581864423314631
fgenesh1_kg.55__62__Locus2936v1rpkm51.72	42.7675607589173	-1.13288126717799	0.262876876530779	-4.30955085182375	1.63586441469979e-05	0.0006546378845254
estExt_Genemark1.C_4_t10095	23.9618851821663	-1.48654062987805	0.348211819377181	-4.26906999462828	1.9628967041921e-05	0.000776267914251969
estExt_fgenesh1_pg.C_40105	9.76007588463636	-2.79260312914451	0.655699752527032	-4.2589662698239	2.05374454492478e-05	0.0008074458816099
e_gw1.3.835.1	23.9789735902602	1.43556008270585	0.337861854124271	4.24895579415671	2.14769291481774e-05	0.000839473224786027
fgenesh1_kg.11__174__Locus3283v1rpkm44.05	44.0290897370853	1.03579090372646	0.243888057461259	4.24699312671756	2.16658603465884e-05	0.000841962885029559
gm1.9471_g	8.7066828518045	3.03768337923922	0.722973871038194	4.20165029598801	2.6497623774474e-05	0.00101796299791879
fgenesh1_kg.1__778__Locus22741v3rpkm0.41	17.1119151745	1.67937106493583	0.399860385950519	4.19989357271226	2.67040471379359e-05	0.00102006425516104
e_gw1.12.150.1	5.6455123987492	5.10597304985343	1.22057301643419	4.18325899483681	2.87359700969421e-05	0.00109147981334317
gm1.6153_g	18.6213375103919	-1.62373807334742	0.38865692050527	-4.17781850182031	2.94318360862284e-05	0.00111163052813322
gm1.5338_g	12.1965501469238	-2.10095261693701	0.503567413573381	-4.17213775217974	3.01755104979869e-05	0.00113335171551936
fgenesh1_kg.5__260__Locus82v1rpkm1427.72	30.2497326218751	1.24936775513679	0.299838568900461	4.16680135487024	3.08903451295591e-05	0.00114738005693937
fgenesh1_pg.8__182	13.1432398883962	-2.08888829736969	0.503306475532507	-4.15033066117341	3.31995312482964e-05	0.00121967458241692
e_gw1.67.44.1	41.3018873173413	1.01351614147867	0.244479431263232	4.14560904466197	3.38911663664005e-05	0.00123831691022451
fgenesh1_pg.14__171	33.8922766545971	1.11606734685583	0.2693434333106	4.14365901977942	3.41807859470123e-05	0.00124214823741494
CE447422_11578	28.9687321887551	1.33386514682822	0.322186688847411	4.14003803695299	3.47248238412623e-05	0.00125513435852046
gm1.215_g	14.9429865477711	-1.9058140275429	0.460970980738436	-4.13434707861642	3.55965178737125e-05	0.00127976144205866
